Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,22u,
C2,0805,1,100n,
C3,0201,1,68p,
C4,0805,1,47u,
"C5, C6, C7",0603,3,2.2u,
D1,D_SOD-123,1,D_Schottky,
"D2, D3",0603,2,LED,
J1,CUI_PJ-002A,1,Barrel_Jack_MountingPin,
"J2, J3",PinHeader_1x02_P1.27mm_Vertical,2,Conn_01x02_Pin,
J4,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Screw_Terminal_01x02,
L1,L_Changjiang_FNR5040S,1,15u58mOhm,
Q1,TO-220-3_Horizontal_TabDown,1,FQP47P06,
R1,0603,1,511K,
R2,0603,1,100K,
R3,0603,1,13.7K,
R4,0603,1,10K,
"R5, R6",0603,2,1K,
R7,0603,1,105K,
U1,SOT-23-6_Handsoldering,1,TPS54202DDC,
U2,SOT-23-5,1,LP5907MFX-3.3,
